language,license,rightsHolder,datasetID,datasetName,taxonID,scientificName,kingdom,family,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1d6ff724a3618e7c3622967898e54113,Hippeastrum puniceum (Lam.) Voss,Plantae,Amaryllidaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1d772d77c14965ea69f96548e2cbc03b,Bidens pilosa L.,Plantae,Asteraceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1da1d68f7094afcd6bb78bad3779c786,Acacia mearnsii De Wild.,Plantae,Fabaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1dc8be3b7dc165aa5adba1e83ea158eb,Tagetes minuta L.,Plantae,Asteraceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1de4dcbbc075ad8bce86c63825c0b303,Canavalia gladiata (Jacq.) DC.,Plantae,Fabaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1f1b7100ee8484d91ba196ad7adb6776,Abelmoschus manihot (L.) Medik.,Plantae,Malvaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1f4528950605c3f66eaf34952caa4700,Sida cordifolia L.,Plantae,Malvaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:1f6c831730b8f450abbdc9f368f7448b,Ipomoea batatas (L.) Lam.,Plantae,Convolvulaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:206be90d56b888c2db598c7e77d67632,Aeglopsis chevalieri Swingle,Plantae,Rutaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:213c535d3fc3016ed1009372d8faa098,Oryza sativa L.,Plantae,Poaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:21838f0d3776c5b80c8b4ee44f0b86b5,Chrysopogon zizanioides (L.) Roberty,Plantae,Poaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2306d6326c614450d20981b40a4b742c,Jatropha gossypifolia L.,Plantae,Euphorbiaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:231432fd157463575806e7863e8e1e56,Leucaena leucocephala (Lam.) de Wit,Plantae,Fabaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:233f4672cdb30f5b02c28d5b70d7315d,Carica papaya L.,Plantae,Caricaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:24b99f0459d69c969e8e2262e1c242a2,Coix lacryma-jobi L.,Plantae,Poaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:24d1e9cd07ecdc89fbd4a8f2b4d7b3a9,Eragrostis tef (Zuccagni) Trotter,Plantae,Poaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:24fdcb7cc85afb14d23b4c5b5d227131,Boerhavia coccinea Mill.,Plantae,Nyctaginaceae,species,ICN
